Training pFedFDA...
Round [100/200]	 Train Loss [0.0891]	 Train Acc [97.23]	 Test Loss [0.8405]	 Test Acc [75.55(10.16)]	 Train Time [56.79]
Round [101/200]	 Train Loss [0.0885]	 Train Acc [97.26]	 Train Time [62.49]
Round [102/200]	 Train Loss [0.0782]	 Train Acc [97.65]	 Train Time [58.13]
Round [103/200]	 Train Loss [0.0784]	 Train Acc [97.62]	 Train Time [73.39]
Round [104/200]	 Train Loss [0.0744]	 Train Acc [97.70]	 Train Time [58.54]
Round [105/200]	 Train Loss [0.0860]	 Train Acc [97.34]	 Train Time [63.24]
Round [106/200]	 Train Loss [0.0827]	 Train Acc [97.50]	 Train Time [66.97]
Round [107/200]	 Train Loss [0.0765]	 Train Acc [97.64]	 Train Time [58.24]
Round [108/200]	 Train Loss [0.0771]	 Train Acc [97.65]	 Train Time [48.92]
Round [109/200]	 Train Loss [0.0800]	 Train Acc [97.54]	 Train Time [63.85]
Round [110/200]	 Train Loss [0.0798]	 Train Acc [97.55]	 Train Time [65.72]
Round [111/200]	 Train Loss [0.0930]	 Train Acc [97.15]	 Train Time [40.46]
Round [112/200]	 Train Loss [0.0725]	 Train Acc [97.77]	 Train Time [46.75]
Round [113/200]	 Train Loss [0.0761]	 Train Acc [97.65]	 Train Time [38.02]
Round [114/200]	 Train Loss [0.0808]	 Train Acc [97.51]	 Train Time [53.96]
Round [115/200]	 Train Loss [0.0735]	 Train Acc [97.76]	 Train Time [54.74]
Round [116/200]	 Train Loss [0.0817]	 Train Acc [97.49]	 Train Time [55.86]
Round [117/200]	 Train Loss [0.0819]	 Train Acc [97.51]	 Train Time [42.08]
Round [118/200]	 Train Loss [0.0738]	 Train Acc [97.69]	 Train Time [55.87]
Round [119/200]	 Train Loss [0.0785]	 Train Acc [97.61]	 Train Time [57.98]
KL Divergence: μ=6.0639
Round [120/200]	 Train Loss [0.0839]	 Train Acc [97.40]	 Test Loss [0.8392]	 Test Acc [75.91(9.86)]	 Train Time [55.48]
Round [121/200]	 Train Loss [0.0782]	 Train Acc [97.55]	 Train Time [58.00]
Round [122/200]	 Train Loss [0.0830]	 Train Acc [97.45]	 Train Time [58.69]
Round [123/200]	 Train Loss [0.0717]	 Train Acc [97.79]	 Train Time [52.40]
Round [124/200]	 Train Loss [0.0753]	 Train Acc [97.64]	 Train Time [64.41]
Round [125/200]	 Train Loss [0.0772]	 Train Acc [97.62]	 Train Time [59.28]
Round [126/200]	 Train Loss [0.0720]	 Train Acc [97.78]	 Train Time [69.56]
Round [127/200]	 Train Loss [0.0670]	 Train Acc [97.90]	 Train Time [52.54]
Round [128/200]	 Train Loss [0.0699]	 Train Acc [97.80]	 Train Time [57.63]
Round [129/200]	 Train Loss [0.0613]	 Train Acc [98.12]	 Train Time [45.80]
Round [130/200]	 Train Loss [0.0716]	 Train Acc [97.75]	 Train Time [51.54]
Round [131/200]	 Train Loss [0.0751]	 Train Acc [97.68]	 Train Time [58.17]
Round [132/200]	 Train Loss [0.0685]	 Train Acc [97.83]	 Train Time [50.93]
Round [133/200]	 Train Loss [0.0739]	 Train Acc [97.69]	 Train Time [57.60]
Round [134/200]	 Train Loss [0.0667]	 Train Acc [97.94]	 Train Time [68.40]
Round [135/200]	 Train Loss [0.0701]	 Train Acc [97.86]	 Train Time [66.11]
Round [136/200]	 Train Loss [0.0744]	 Train Acc [97.66]	 Train Time [44.33]
Round [137/200]	 Train Loss [0.0763]	 Train Acc [97.67]	 Train Time [41.71]
Round [138/200]	 Train Loss [0.0656]	 Train Acc [98.00]	 Train Time [49.50]
Round [139/200]	 Train Loss [0.0645]	 Train Acc [97.98]	 Train Time [49.94]
KL Divergence: μ=6.5617
Round [140/200]	 Train Loss [0.0680]	 Train Acc [97.92]	 Test Loss [0.8536]	 Test Acc [75.45(10.14)]	 Train Time [60.22]
Round [141/200]	 Train Loss [0.0686]	 Train Acc [97.88]	 Train Time [51.04]
Round [142/200]	 Train Loss [0.0777]	 Train Acc [97.58]	 Train Time [58.06]
Round [143/200]	 Train Loss [0.0798]	 Train Acc [97.51]	 Train Time [48.53]
Round [144/200]	 Train Loss [0.0666]	 Train Acc [97.90]	 Train Time [48.16]
Round [145/200]	 Train Loss [0.0690]	 Train Acc [97.84]	 Train Time [70.73]
Round [146/200]	 Train Loss [0.0633]	 Train Acc [98.00]	 Train Time [42.15]
Round [147/200]	 Train Loss [0.0709]	 Train Acc [97.81]	 Train Time [44.31]
Round [148/200]	 Train Loss [0.0802]	 Train Acc [97.54]	 Train Time [56.07]
Round [149/200]	 Train Loss [0.0606]	 Train Acc [98.16]	 Train Time [50.42]
Round [150/200]	 Train Loss [0.0650]	 Train Acc [98.01]	 Train Time [61.62]
Round [151/200]	 Train Loss [0.0706]	 Train Acc [97.82]	 Train Time [48.39]
Round [152/200]	 Train Loss [0.0728]	 Train Acc [97.71]	 Train Time [47.89]
Round [153/200]	 Train Loss [0.0708]	 Train Acc [97.78]	 Train Time [57.54]
