Training FedAvg...
Round [128/200]	 Train Loss [0.0494]	 Train Acc [98.51]	 Train Time [68.46]
Round [129/200]	 Train Loss [0.0465]	 Train Acc [98.60]	 Train Time [64.71]
Round [130/200]	 Train Loss [0.0593]	 Train Acc [98.15]	 Train Time [72.04]
Round [131/200]	 Train Loss [0.0570]	 Train Acc [98.24]	 Train Time [73.26]
Round [132/200]	 Train Loss [0.0540]	 Train Acc [98.33]	 Train Time [53.48]
Round [133/200]	 Train Loss [0.0495]	 Train Acc [98.48]	 Train Time [62.69]
Round [134/200]	 Train Loss [0.0562]	 Train Acc [98.27]	 Train Time [75.93]
Round [135/200]	 Train Loss [0.0564]	 Train Acc [98.28]	 Train Time [72.44]
Round [136/200]	 Train Loss [0.0516]	 Train Acc [98.43]	 Train Time [67.79]
Round [137/200]	 Train Loss [0.0516]	 Train Acc [98.41]	 Train Time [68.74]
Round [138/200]	 Train Loss [0.0519]	 Train Acc [98.39]	 Train Time [79.32]
Round [139/200]	 Train Loss [0.0506]	 Train Acc [98.45]	 Train Time [81.99]
Round [140/200]	 Train Loss [0.0492]	 Train Acc [98.46]	 Test Loss [1.3088|1.2812]	 Test Acc [61.52(10.17)|74.07(10.79)]	 Train Time [84.43]
Round [141/200]	 Train Loss [0.0513]	 Train Acc [98.43]	 Train Time [80.31]
Round [142/200]	 Train Loss [0.0519]	 Train Acc [98.42]	 Train Time [67.31]
Round [143/200]	 Train Loss [0.0494]	 Train Acc [98.52]	 Train Time [77.70]
Round [144/200]	 Train Loss [0.0543]	 Train Acc [98.39]	 Train Time [49.76]
Round [145/200]	 Train Loss [0.0525]	 Train Acc [98.39]	 Train Time [64.90]
Round [146/200]	 Train Loss [0.0494]	 Train Acc [98.46]	 Train Time [66.34]
Round [147/200]	 Train Loss [0.0593]	 Train Acc [98.17]	 Train Time [56.23]
Round [148/200]	 Train Loss [0.0502]	 Train Acc [98.43]	 Train Time [84.07]
Round [149/200]	 Train Loss [0.0551]	 Train Acc [98.36]	 Train Time [53.81]
Round [150/200]	 Train Loss [0.0603]	 Train Acc [98.13]	 Train Time [83.81]
Round [151/200]	 Train Loss [0.0534]	 Train Acc [98.37]	 Train Time [63.02]
Round [152/200]	 Train Loss [0.0548]	 Train Acc [98.34]	 Train Time [84.58]
Round [153/200]	 Train Loss [0.0514]	 Train Acc [98.43]	 Train Time [95.83]
Round [154/200]	 Train Loss [0.0468]	 Train Acc [98.57]	 Train Time [80.96]
Round [155/200]	 Train Loss [0.0549]	 Train Acc [98.34]	 Train Time [75.56]
Round [156/200]	 Train Loss [0.0490]	 Train Acc [98.48]	 Train Time [91.81]
Round [157/200]	 Train Loss [0.0451]	 Train Acc [98.60]	 Train Time [60.31]
Round [158/200]	 Train Loss [0.0488]	 Train Acc [98.47]	 Train Time [70.84]
Round [159/200]	 Train Loss [0.0485]	 Train Acc [98.50]	 Train Time [67.32]
Round [160/200]	 Train Loss [0.0490]	 Train Acc [98.51]	 Test Loss [1.3051|1.2545]	 Test Acc [62.05(10.60)|74.83(10.60)]	 Train Time [98.17]
Round [161/200]	 Train Loss [0.0503]	 Train Acc [98.46]	 Train Time [68.76]
Round [162/200]	 Train Loss [0.0500]	 Train Acc [98.47]	 Train Time [82.13]
Round [163/200]	 Train Loss [0.0508]	 Train Acc [98.48]	 Train Time [68.83]
Round [164/200]	 Train Loss [0.0482]	 Train Acc [98.52]	 Train Time [76.55]
Round [165/200]	 Train Loss [0.0516]	 Train Acc [98.43]	 Train Time [78.03]
Round [166/200]	 Train Loss [0.0469]	 Train Acc [98.57]	 Train Time [57.51]
Round [167/200]	 Train Loss [0.0496]	 Train Acc [98.47]	 Train Time [83.98]
Round [168/200]	 Train Loss [0.0508]	 Train Acc [98.45]	 Train Time [59.69]
Round [169/200]	 Train Loss [0.0575]	 Train Acc [98.26]	 Train Time [69.16]
Round [170/200]	 Train Loss [0.0533]	 Train Acc [98.38]	 Train Time [74.75]
Round [171/200]	 Train Loss [0.0511]	 Train Acc [98.41]	 Train Time [76.14]
Round [172/200]	 Train Loss [0.0450]	 Train Acc [98.63]	 Train Time [86.47]
Round [173/200]	 Train Loss [0.0457]	 Train Acc [98.60]	 Train Time [64.62]
Round [174/200]	 Train Loss [0.0474]	 Train Acc [98.52]	 Train Time [75.16]
Round [175/200]	 Train Loss [0.0453]	 Train Acc [98.64]	 Train Time [51.55]
Round [176/200]	 Train Loss [0.0464]	 Train Acc [98.56]	 Train Time [82.31]
Round [177/200]	 Train Loss [0.0450]	 Train Acc [98.63]	 Train Time [84.48]
Round [178/200]	 Train Loss [0.0450]	 Train Acc [98.60]	 Train Time [63.64]
Round [179/200]	 Train Loss [0.0528]	 Train Acc [98.41]	 Train Time [62.87]
Round [180/200]	 Train Loss [0.0459]	 Train Acc [98.60]	 Test Loss [1.3633|1.2400]	 Test Acc [60.80(10.99)|74.50(11.90)]	 Train Time [68.32]
Round [181/200]	 Train Loss [0.0468]	 Train Acc [98.57]	 Train Time [81.12]
Round [182/200]	 Train Loss [0.0484]	 Train Acc [98.48]	 Train Time [71.11]
Round [183/200]	 Train Loss [0.0474]	 Train Acc [98.55]	 Train Time [62.69]
Round [184/200]	 Train Loss [0.0499]	 Train Acc [98.49]	 Train Time [77.25]
Round [185/200]	 Train Loss [0.0448]	 Train Acc [98.62]	 Train Time [56.21]
Round [186/200]	 Train Loss [0.0507]	 Train Acc [98.44]	 Train Time [66.33]
Round [187/200]	 Train Loss [0.0502]	 Train Acc [98.43]	 Train Time [84.09]
Round [188/200]	 Train Loss [0.0473]	 Train Acc [98.53]	 Train Time [57.97]
