Training FedAvg with model cifaredl on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [140/200]	 Train Loss [0.1833]	 Train Acc [94.32%]	 Time [39.79s]
Round [141/200]	 Train Loss [0.1776]	 Train Acc [94.53%]	 Time [43.03s]
Round [142/200]	 Train Loss [0.1770]	 Train Acc [94.62%]	 Time [42.47s]
Round [143/200]	 Train Loss [0.1692]	 Train Acc [94.87%]	 Time [29.01s]
Round [144/200]	 Train Loss [0.1808]	 Train Acc [94.37%]	 Time [32.93s]
Round [145/200]	 Train Loss [0.1971]	 Train Acc [94.04%]	 Time [23.76s]
Round [146/200]	 Train Loss [0.2040]	 Train Acc [93.86%]	 Time [18.83s]
Round [147/200]	 Train Loss [0.1736]	 Train Acc [94.80%]	 Time [27.01s]
Round [148/200]	 Train Loss [0.1741]	 Train Acc [94.68%]	 Time [46.24s]
Round [149/200]	 Train Loss [0.1607]	 Train Acc [95.15%]	 Time [41.55s]
Round [150/200]	 Train Loss [0.1681]	 Train Acc [94.85%]	 Time [35.65s]
Round [151/200]	 Train Loss [0.1688]	 Train Acc [95.01%]	 Time [35.81s]
Round [152/200]	 Train Loss [0.1786]	 Train Acc [94.49%]	 Time [45.01s]
Round [153/200]	 Train Loss [0.1711]	 Train Acc [94.86%]	 Time [25.09s]
Round [154/200]	 Train Loss [0.1839]	 Train Acc [94.35%]	 Time [48.48s]
Round [155/200]	 Train Loss [0.1829]	 Train Acc [94.42%]	 Time [38.87s]
Round [156/200]	 Train Loss [0.1825]	 Train Acc [94.50%]	 Time [35.75s]
Round [157/200]	 Train Loss [0.1650]	 Train Acc [94.98%]	 Time [34.16s]
Round [158/200]	 Train Loss [0.1546]	 Train Acc [95.32%]	 Time [38.98s]
Round [159/200]	 Train Loss [0.1658]	 Train Acc [94.91%]	 Time [23.01s]
Round [160/200]	 Train Loss [0.1794]	 Train Acc [94.64%]	 Time [31.80s]
Round [161/200]	 Train Loss [0.1860]	 Train Acc [94.35%]	 Time [27.10s]
Round [162/200]	 Train Loss [0.1816]	 Train Acc [94.42%]	 Time [31.41s]
Round [163/200]	 Train Loss [0.1766]	 Train Acc [94.55%]	 Time [42.37s]
Round [164/200]	 Train Loss [0.1651]	 Train Acc [95.03%]	 Time [36.00s]
Round [165/200]	 Train Loss [0.1740]	 Train Acc [94.69%]	 Time [22.33s]
Round [166/200]	 Train Loss [0.1789]	 Train Acc [94.45%]	 Time [28.94s]
Round [167/200]	 Train Loss [0.1671]	 Train Acc [94.89%]	 Time [35.72s]
Round [168/200]	 Train Loss [0.1834]	 Train Acc [94.53%]	 Time [27.78s]
Round [169/200]	 Train Loss [0.1627]	 Train Acc [95.03%]	 Time [39.47s]
Round [170/200]	 Train Loss [0.1663]	 Train Acc [94.86%]	 Time [40.13s]
Round [171/200]	 Train Loss [0.1615]	 Train Acc [95.09%]	 Time [40.69s]
Round [172/200]	 Train Loss [0.1760]	 Train Acc [94.72%]	 Time [31.73s]
Round [173/200]	 Train Loss [0.1698]	 Train Acc [94.94%]	 Time [37.06s]
Round [174/200]	 Train Loss [0.1743]	 Train Acc [94.74%]	 Time [32.54s]
Round [175/200]	 Train Loss [0.1658]	 Train Acc [94.96%]	 Time [32.75s]
Round [176/200]	 Train Loss [0.1787]	 Train Acc [94.30%]	 Time [26.55s]
Round [177/200]	 Train Loss [0.1574]	 Train Acc [95.20%]	 Time [38.89s]
Round [178/200]	 Train Loss [0.1659]	 Train Acc [94.98%]	 Time [32.79s]
Round [179/200]	 Train Loss [0.1640]	 Train Acc [95.09%]	 Time [39.18s]
Round [180/200]	 Train Loss [0.1670]	 Train Acc [94.96%]	 Time [36.41s]
Round [181/200]	 Train Loss [0.1411]	 Train Acc [95.71%]	 Time [32.77s]
Round [182/200]	 Train Loss [0.1677]	 Train Acc [95.13%]	 Time [32.35s]
Round [183/200]	 Train Loss [0.1733]	 Train Acc [94.69%]	 Time [28.84s]
Round [184/200]	 Train Loss [0.1474]	 Train Acc [95.48%]	 Time [39.52s]
Round [185/200]	 Train Loss [0.1533]	 Train Acc [95.31%]	 Time [45.78s]
Round [186/200]	 Train Loss [0.1557]	 Train Acc [95.31%]	 Time [39.24s]
Round [187/200]	 Train Loss [0.1572]	 Train Acc [95.14%]	 Time [36.63s]
Round [188/200]	 Train Loss [0.1631]	 Train Acc [94.99%]	 Time [46.15s]
Round [189/200]	 Train Loss [0.1635]	 Train Acc [95.12%]	 Time [31.45s]
