Training pFedFDA with model cifarnet on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [101/200]	 Train Loss [0.1440]	 Train Acc [95.67]	 Train Time [30.33]
Round [102/200]	 Train Loss [0.1798]	 Train Acc [94.38]	 Train Time [22.21]
Round [103/200]	 Train Loss [0.1620]	 Train Acc [94.95]	 Train Time [45.77]
Round [104/200]	 Train Loss [0.1514]	 Train Acc [95.41]	 Train Time [30.07]
Round [105/200]	 Train Loss [0.1548]	 Train Acc [95.34]	 Train Time [44.38]
Round [106/200]	 Train Loss [0.1442]	 Train Acc [95.71]	 Train Time [31.64]
Round [107/200]	 Train Loss [0.1514]	 Train Acc [95.44]	 Train Time [33.64]
Round [108/200]	 Train Loss [0.1533]	 Train Acc [95.22]	 Train Time [42.43]
Round [109/200]	 Train Loss [0.1554]	 Train Acc [95.19]	 Train Time [38.72]
Round [110/200]	 Train Loss [0.1315]	 Train Acc [95.90]	 Train Time [37.13]
Round [111/200]	 Train Loss [0.1343]	 Train Acc [95.85]	 Train Time [41.30]
Round [112/200]	 Train Loss [0.1462]	 Train Acc [95.49]	 Train Time [47.06]
Round [113/200]	 Train Loss [0.1391]	 Train Acc [95.76]	 Train Time [32.27]
Round [114/200]	 Train Loss [0.1525]	 Train Acc [95.30]	 Train Time [35.84]
Round [115/200]	 Train Loss [0.1438]	 Train Acc [95.69]	 Train Time [31.39]
Round [116/200]	 Train Loss [0.1480]	 Train Acc [95.47]	 Train Time [33.72]
Round [117/200]	 Train Loss [0.1561]	 Train Acc [95.15]	 Train Time [39.19]
Round [118/200]	 Train Loss [0.1536]	 Train Acc [95.23]	 Train Time [39.55]
Round [119/200]	 Train Loss [0.1412]	 Train Acc [95.70]	 Train Time [32.38]
Round [120/200]	 Train Loss [0.1368]	 Train Acc [95.78]	 Train Time [48.82]
Round [121/200]	 Train Loss [0.1517]	 Train Acc [95.29]	 Train Time [42.19]
Round [122/200]	 Train Loss [0.1518]	 Train Acc [95.43]	 Train Time [35.53]
Round [123/200]	 Train Loss [0.1384]	 Train Acc [95.75]	 Train Time [38.37]
Round [124/200]	 Train Loss [0.1474]	 Train Acc [95.42]	 Train Time [33.47]
Round [125/200]	 Train Loss [0.1341]	 Train Acc [95.97]	 Train Time [31.62]
