Training FedAvg with model cifarnet on cifar100 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [95/200]	 Train Loss [0.6517]	 Train Acc [83.00%]	 Time [29.09s]
Round [96/200]	 Train Loss [0.6497]	 Train Acc [82.95%]	 Time [34.53s]
Round [97/200]	 Train Loss [0.6260]	 Train Acc [83.55%]	 Time [30.88s]
Round [98/200]	 Train Loss [0.6432]	 Train Acc [83.16%]	 Time [33.94s]
Round [99/200]	 Train Loss [0.6359]	 Train Acc [83.34%]	 Time [38.64s]
Round [100/200]	 Train Loss [0.6266]	 Train Acc [83.60%]	 Time [37.44s]
Round [101/200]	 Train Loss [0.6109]	 Train Acc [83.98%]	 Time [28.73s]
Round [102/200]	 Train Loss [0.6342]	 Train Acc [83.43%]	 Time [39.71s]
Round [103/200]	 Train Loss [0.5895]	 Train Acc [84.47%]	 Time [30.28s]
Round [104/200]	 Train Loss [0.6111]	 Train Acc [83.95%]	 Time [43.37s]
Round [105/200]	 Train Loss [0.6102]	 Train Acc [84.02%]	 Time [29.34s]
Round [106/200]	 Train Loss [0.6146]	 Train Acc [83.73%]	 Time [32.05s]
Round [107/200]	 Train Loss [0.5966]	 Train Acc [84.23%]	 Time [38.70s]
Round [108/200]	 Train Loss [0.6050]	 Train Acc [84.02%]	 Time [38.28s]
Round [109/200]	 Train Loss [0.5964]	 Train Acc [84.30%]	 Time [35.68s]
Round [110/200]	 Train Loss [0.5877]	 Train Acc [84.60%]	 Time [30.34s]
Round [111/200]	 Train Loss [0.5876]	 Train Acc [84.47%]	 Time [33.58s]
Round [112/200]	 Train Loss [0.5741]	 Train Acc [84.88%]	 Time [30.40s]
Round [113/200]	 Train Loss [0.5797]	 Train Acc [84.75%]	 Time [30.57s]
Round [114/200]	 Train Loss [0.5932]	 Train Acc [84.36%]	 Time [32.81s]
Round [115/200]	 Train Loss [0.5859]	 Train Acc [84.47%]	 Time [26.70s]
Round [116/200]	 Train Loss [0.5796]	 Train Acc [84.66%]	 Time [32.23s]
Round [117/200]	 Train Loss [0.5759]	 Train Acc [84.76%]	 Time [36.20s]
Round [118/200]	 Train Loss [0.5735]	 Train Acc [84.89%]	 Time [39.02s]
Round [119/200]	 Train Loss [0.5932]	 Train Acc [84.23%]	 Time [29.59s]
Round [120/200]	 Train Loss [0.5594]	 Train Acc [85.21%]	 Time [29.16s]
Round [121/200]	 Train Loss [0.5877]	 Train Acc [84.50%]	 Time [22.30s]
Round [122/200]	 Train Loss [0.5825]	 Train Acc [84.56%]	 Time [33.34s]
Round [123/200]	 Train Loss [0.5623]	 Train Acc [85.08%]	 Time [30.49s]
Round [124/200]	 Train Loss [0.5640]	 Train Acc [85.14%]	 Time [25.75s]
Round [125/200]	 Train Loss [0.5574]	 Train Acc [85.35%]	 Time [32.04s]
Round [126/200]	 Train Loss [0.5688]	 Train Acc [85.01%]	 Time [27.45s]
Round [127/200]	 Train Loss [0.5486]	 Train Acc [85.53%]	 Time [27.58s]
Round [128/200]	 Train Loss [0.5663]	 Train Acc [85.07%]	 Time [31.77s]
Round [129/200]	 Train Loss [0.5439]	 Train Acc [85.52%]	 Time [33.51s]
Round [130/200]	 Train Loss [0.5352]	 Train Acc [85.83%]	 Time [25.26s]
Round [131/200]	 Train Loss [0.5551]	 Train Acc [85.27%]	 Time [29.21s]
Round [132/200]	 Train Loss [0.5439]	 Train Acc [85.45%]	 Time [38.67s]
Round [133/200]	 Train Loss [0.5409]	 Train Acc [85.59%]	 Time [32.28s]
Round [134/200]	 Train Loss [0.5463]	 Train Acc [85.58%]	 Time [29.11s]
Round [135/200]	 Train Loss [0.5374]	 Train Acc [85.77%]	 Time [33.69s]
Round [136/200]	 Train Loss [0.5636]	 Train Acc [85.00%]	 Time [25.04s]
Round [137/200]	 Train Loss [0.5085]	 Train Acc [86.49%]	 Time [34.25s]
Round [138/200]	 Train Loss [0.5407]	 Train Acc [85.70%]	 Time [35.83s]
