Training pFedFDA with model cifarnet on cifar100 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [186/200]	 Train Loss [0.4895]	 Train Acc [85.94]	 Train Time [51.48]
Round [187/200]	 Train Loss [0.4617]	 Train Acc [86.42]	 Train Time [38.81]
Round [188/200]	 Train Loss [0.4663]	 Train Acc [86.42]	 Train Time [36.99]
Round [189/200]	 Train Loss [0.4671]	 Train Acc [86.44]	 Train Time [41.44]
Round [190/200]	 Train Loss [0.4775]	 Train Acc [86.16]	 Train Time [43.48]
Round [191/200]	 Train Loss [0.4742]	 Train Acc [86.26]	 Train Time [45.40]
Round [192/200]	 Train Loss [0.4712]	 Train Acc [86.28]	 Train Time [38.23]
Round [193/200]	 Train Loss [0.4632]	 Train Acc [86.54]	 Train Time [25.72]
Round [194/200]	 Train Loss [0.4789]	 Train Acc [86.10]	 Train Time [23.75]
Round [195/200]	 Train Loss [0.4673]	 Train Acc [86.44]	 Train Time [31.58]
Round [196/200]	 Train Loss [0.4660]	 Train Acc [86.48]	 Train Time [30.15]
Round [197/200]	 Train Loss [0.4698]	 Train Acc [86.34]	 Train Time [40.08]
Round [198/200]	 Train Loss [0.4892]	 Train Acc [85.83]	 Train Time [30.44]
Round [199/200]	 Train Loss [0.4548]	 Train Acc [86.85]	 Train Time [33.65]
--- Round [200/200] Evaluation ---
  [Calibration] Brier: 0.9724, ECE: 0.0098
  [OOD Detection] AUROC: 0.5065, FPR@95TPR: 0.9381
  [Main] Train Loss: 0.4692, Train Acc: 86.42%
  [Main] Test Loss: 5.1630, Test Acc: 8.22% (std: 5.67)
  [Time] Train: 97.85s, Round: 98.01s
Method took (39.68 +/- 7.83) seconds per training iteration (client train + server agg).
Method took (7959.31) total seconds for all rounds.
